Time (s),Qgen (W),Qsolar (W),Qalbedo (W),Qplanetshine (W),Qout/rad (W),Qstored (W)
25100,15.66,56.32,29.97,20.66,76.64,45.96
25110,10.3,56.67,15.06,21.18,73.85,29.36
25120,10.22,62.4,24.6,18.8,63.75,52.28
25130,12.89,57.19,24.46,15.79,78.49,31.84
25140,11.52,65.65,19.42,19.13,68.88,46.84
25150,10.86,66.46,27.05,15.58,66.79,53.16
25160,19.69,52.71,22.76,14.62,79.89,29.88
25170,19.85,51.04,21.75,10.52,75.19,27.98
25180,14.21,61.07,22.18,23.62,66.53,54.56
25190,18.67,67.56,26.91,22.85,78.52,57.46
25200,12.85,68.14,27.78,12.83,73.27,48.33
25210,19.3,62.11,23.52,20.22,60.03,65.11
25220,16.04,63.53,26.18,23.5,90.03,39.22
25230,12.78,57.83,25.81,23.34,88.51,31.25
25240,15.43,56.12,15.95,23.38,76.63,34.26
25250,14.53,67.83,16.89,11.16,71.32,39.1
25260,12.63,63.56,29.33,22.42,72.56,55.39
25270,10.99,61.71,29.17,21.34,68.57,54.64
25280,17.54,65.3,23.16,21.07,92.0,35.06
25290,14.01,67.41,28.28,12.97,79.09,43.58
25300,18.46,51.22,22.26,19.91,76.85,35.0
25310,12.07,51.98,22.52,21.02,66.67,40.93
25320,12.4,68.53,19.78,15.09,79.58,36.22
25330,14.11,55.19,17.53,20.5,87.47,19.85
25340,11.38,59.39,23.19,20.0,88.55,25.42
25350,11.11,59.69,20.79,20.02,72.49,39.13
25360,12.46,53.0,21.56,22.26,80.06,29.22
25370,15.25,69.52,28.78,13.08,81.26,45.37
25380,19.56,62.47,24.91,11.34,63.88,54.4
25390,18.29,62.48,18.34,14.29,79.1,34.29
25400,11.55,54.69,22.81,15.35,71.4,33.01
25410,13.07,66.27,29.21,22.89,65.11,66.34
25420,11.41,60.52,17.29,16.08,81.4,23.9
25430,16.76,56.72,25.69,14.62,79.18,34.61
25440,14.95,54.55,16.9,15.92,69.79,32.54
25450,19.5,68.54,22.05,16.26,90.67,35.69
25460,11.96,61.52,29.98,12.66,69.11,47.01
25470,13.94,54.44,15.54,15.27,80.99,18.2
25480,10.28,61.56,27.66,23.28,67.59,55.19
25490,13.79,68.26,20.77,14.85,86.96,30.7
25500,14.37,50.41,15.59,18.47,62.36,36.49
25510,13.06,51.8,24.72,15.47,76.38,28.67
25520,11.09,55.25,17.57,24.01,91.21,16.7
25530,18.49,66.03,15.31,16.95,76.15,40.64
25540,19.6,52.78,18.96,24.64,65.47,50.51
25550,14.71,61.06,18.4,19.41,72.37,41.22
25560,12.1,61.63,20.05,13.17,98.08,8.87
25570,17.76,68.4,24.87,16.22,79.95,47.3
25580,16.47,60.62,21.65,21.55,80.22,40.06
25590,17.22,67.73,15.33,13.67,77.21,36.75
25600,14.47,59.05,27.96,14.32,70.24,45.56
25610,11.43,55.72,23.25,10.54,79.66,21.28
25620,17.57,54.56,22.7,20.87,98.27,17.44
25630,10.5,65.84,29.7,19.63,60.12,65.55
25640,16.28,56.18,21.87,21.96,65.55,50.74
25650,11.21,65.04,23.21,11.63,62.82,48.28
25660,15.24,54.46,24.57,12.81,92.22,14.87
25670,13.85,62.0,27.59,22.34,86.85,38.94
25680,19.59,50.56,26.78,13.93,84.76,26.11
25690,15.79,61.9,18.5,15.97,98.31,13.85
25700,18.95,52.27,20.39,10.67,76.97,25.32
25710,10.8,60.01,27.43,23.62,82.73,39.13
25720,10.37,63.6,22.83,22.3,94.88,24.22
25730,12.55,51.19,16.01,24.24,87.77,16.22
25740,13.72,51.97,28.39,24.25,67.14,51.21
25750,14.98,63.16,29.71,17.95,99.64,26.16
25760,19.86,68.16,17.55,24.41,75.0,54.97
25770,11.84,69.82,16.36,15.69,96.15,17.56
25780,19.23,51.83,21.03,24.86,88.79,28.16
25790,19.6,68.23,27.31,17.25,82.78,49.6
25800,14.85,62.67,16.55,16.2,70.78,39.49
25810,10.8,66.39,25.68,20.9,99.06,24.72
25820,16.7,56.22,25.95,19.19,71.64,46.42
25830,12.94,56.72,28.38,13.15,80.38,30.81
25840,17.96,56.56,19.76,17.24,93.08,18.43
25850,13.24,59.61,21.45,22.65,97.73,19.22
25860,19.4,57.5,28.89,18.95,69.1,55.64
25870,14.82,64.79,17.56,21.9,95.44,23.62
25880,18.77,68.59,25.85,12.18,75.7,49.69
25890,12.35,64.59,15.2,21.1,62.03,51.2
25900,15.01,67.39,25.36,20.55,93.39,34.92
25910,16.19,58.22,19.1,13.26,77.79,28.97
25920,14.24,50.42,22.29,15.7,99.58,3.07
25930,16.56,54.98,18.11,24.18,60.7,53.13
25940,17.07,67.87,15.71,12.07,73.06,39.66
25950,13.77,60.91,15.14,18.14,71.49,36.48
25960,12.56,57.12,23.65,21.53,83.61,31.24
25970,14.38,66.32,23.62,20.38,83.09,41.61
25980,11.7,51.39,26.44,14.92,61.9,42.57
25990,14.43,60.91,28.1,21.59,70.7,54.32
26000,18.2,61.32,15.39,24.36,76.33,42.96
26010,19.89,51.8,20.15,12.37,88.47,15.74
26020,15.28,55.53,24.49,12.28,86.49,21.09
26030,18.38,61.77,28.04,17.07,88.94,36.32
26040,13.8,62.81,17.84,18.12,93.96,18.61
26050,15.09,68.68,23.57,12.07,86.76,32.64
26060,15.22,58.69,24.72,14.48,94.79,18.32
26070,11.69,65.14,25.35,16.82,64.15,54.85
26080,15.47,66.35,19.48,12.83,65.31,48.81
26090,14.8,50.81,20.17,17.99,66.77,37.01
26100,11.08,65.48,20.82,19.58,74.1,42.86
26110,14.12,53.58,18.68,18.36,78.94,25.8
26120,10.07,69.08,24.06,10.89,88.03,26.07
26130,12.24,63.64,26.64,15.97,83.58,34.91
26140,15.92,50.93,26.34,12.19,72.78,32.61
26150,10.68,63.5,22.86,16.65,72.54,41.15
26160,12.65,67.57,18.21,12.4,60.14,50.68
26170,17.93,51.49,19.07,13.49,67.57,34.4
26180,13.22,60.51,25.95,20.77,83.07,37.38
26190,19.1,52.27,23.71,12.41,87.49,19.98
26200,14.79,69.13,20.65,14.93,66.83,52.67
26210,19.23,59.15,19.24,23.63,70.96,50.28
26220,10.16,51.68,20.23,11.73,69.55,24.24
26230,12.98,58.96,15.6,19.27,75.0,31.81
26240,19.1,52.21,18.86,24.99,65.81,49.35
26250,14.94,61.23,17.23,13.22,78.88,27.75
26260,13.03,65.55,25.87,12.39,96.18,20.66
26270,12.3,53.88,23.78,10.68,98.93,1.71
26280,17.11,63.42,29.19,16.98,79.83,46.87
26290,16.78,62.18,29.4,12.66,74.36,46.66
26300,17.55,53.72,16.74,16.22,63.2,41.02
26310,13.22,63.09,17.76,20.76,98.42,16.4
26320,14.32,66.72,26.91,10.57,72.24,46.28
26330,17.64,64.83,15.39,10.36,62.95,45.26
26340,11.86,68.73,25.44,19.11,73.57,51.58
26350,16.32,65.34,19.0,17.77,80.58,37.86
26360,12.07,62.89,17.61,19.46,99.11,12.92
26370,17.14,64.78,25.89,24.96,75.96,56.81
26380,11.75,59.09,15.96,11.73,77.99,20.55
26390,16.26,52.63,25.85,16.12,74.61,36.25
26400,15.85,65.8,25.12,14.39,65.87,55.29
26410,10.61,58.16,28.85,20.91,93.82,24.71
26420,14.64,65.71,26.22,15.15,64.26,57.47
26430,14.02,56.51,29.65,19.78,67.2,52.76
26440,11.72,61.33,28.0,11.25,71.24,41.06
26450,13.62,67.11,27.18,20.02,62.59,65.35
26460,16.28,65.57,18.97,13.64,80.08,34.37
26470,18.54,59.14,17.96,20.74,98.05,18.32
26480,18.97,52.52,18.66,14.85,98.23,6.78
26490,15.07,69.19,27.26,12.91,78.3,46.13
26500,13.12,61.13,21.88,19.84,69.52,46.45
26510,10.78,55.15,25.64,11.91,76.75,26.73
26520,16.84,67.43,19.45,22.4,69.8,56.31
26530,14.73,59.6,24.37,17.28,63.06,52.92
26540,19.87,62.69,21.04,12.3,77.62,38.29
26550,14.51,69.66,18.88,10.97,96.4,17.63
26560,18.7,68.13,24.32,13.78,74.97,49.96
26570,16.24,53.16,25.56,15.41,70.9,39.47
26580,15.76,60.44,24.47,10.34,81.54,29.47
26590,17.61,60.63,25.06,16.91,78.1,42.09
26600,15.53,54.4,16.72,24.67,73.82,37.5
26610,11.43,64.62,29.2,12.88,76.22,41.91
26620,13.39,53.0,28.35,17.44,80.18,32.0
26630,15.12,56.86,28.7,20.44,66.68,54.45
26640,12.72,65.41,24.3,16.39,74.74,44.07
26650,12.85,51.36,22.24,12.3,68.35,30.4
26660,19.05,69.17,22.86,14.62,97.77,27.93
26670,10.26,66.2,29.59,10.46,86.84,29.68
26680,10.84,65.93,20.73,13.05,75.81,34.75
26690,10.65,63.52,21.69,16.89,64.93,47.81
26700,15.95,59.75,23.9,12.42,79.08,32.94
26710,17.28,61.26,23.84,19.1,78.85,42.62
26720,18.64,62.9,17.34,24.87,78.94,44.81
26730,16.21,59.66,21.83,15.89,90.0,23.58
26740,17.79,62.11,27.57,18.39,69.95,55.92
26750,17.44,50.68,29.53,15.65,96.91,16.38
26760,17.87,65.24,23.51,20.89,87.49,40.03
26770,13.31,59.29,23.03,15.88,84.86,26.65
26780,12.06,58.9,22.32,16.59,93.68,16.19
26790,19.3,60.02,18.32,14.84,88.4,24.07
26800,15.75,53.35,22.8,12.61,75.45,29.06
26810,12.9,69.39,21.46,12.31,67.27,48.8
26820,10.36,69.4,17.6,17.22,79.59,35.0
26830,14.47,69.29,18.01,11.59,69.4,43.96
26840,14.7,69.92,19.4,18.64,76.1,46.57
26850,14.96,68.71,18.16,14.71,79.85,36.7
26860,13.85,53.67,20.12,22.86,70.88,39.62
26870,11.26,69.78,15.7,15.47,97.41,14.8
26880,14.57,68.95,22.36,15.99,62.55,59.31
26890,14.35,53.59,24.59,24.02,72.05,44.5
26900,15.82,58.9,17.59,12.31,95.4,9.22
26910,16.94,56.82,22.49,21.78,93.33,24.7
26920,12.47,57.53,23.13,15.67,88.12,20.69
26930,11.02,67.01,20.64,14.19,65.36,47.51
26940,15.12,65.46,25.92,10.01,80.85,35.66
26950,11.1,60.07,26.72,23.38,90.75,30.52
26960,19.74,67.32,28.25,21.9,96.88,40.33
26970,13.65,58.25,21.11,14.0,60.46,46.55
26980,12.12,54.78,16.12,17.29,97.79,2.51
26990,12.86,60.06,29.62,23.83,70.52,55.85
27000,19.1,63.93,15.23,13.39,80.33,31.32
27010,17.29,51.6,20.87,15.18,78.86,26.09
27020,12.52,69.52,24.26,23.25,76.9,52.65
27030,15.23,58.41,26.25,23.84,64.18,59.54
27040,11.39,68.44,29.1,17.0,70.07,55.87
27050,13.34,60.11,23.36,23.38,85.38,34.8
27060,12.08,63.5,20.91,22.48,83.0,35.96
27070,11.86,68.29,17.24,20.71,81.84,36.27
27080,12.11,60.81,21.67,18.24,87.42,25.41
27090,18.53,56.18,20.43,15.08,81.4,28.82
27100,18.88,58.94,19.93,23.61,70.86,50.49
27110,11.87,68.63,20.29,21.67,99.76,22.69
27120,12.93,55.14,19.56,18.8,67.94,38.49
27130,19.5,61.23,21.78,23.12,80.72,44.91
27140,15.26,66.65,15.72,17.93,77.74,37.82
27150,11.52,52.96,22.75,13.68,97.66,3.24
27160,10.03,63.31,20.67,14.82,60.21,48.61
27170,14.7,63.8,16.99,21.56,67.27,49.79
27180,16.1,65.84,20.32,20.55,78.57,44.24
27190,12.78,51.71,17.41,12.25,60.85,33.3
27200,16.64,56.46,25.09,11.49,76.82,32.86
27210,18.91,57.65,16.2,18.39,97.92,13.23
27220,16.88,57.2,28.59,14.61,83.29,33.98
27230,16.08,55.3,25.26,23.52,61.37,58.8
27240,14.57,50.53,16.83,22.15,80.24,23.84
27250,13.39,55.56,22.74,20.49,89.98,22.21
27260,11.81,51.74,21.34,19.6,99.5,5.0
27270,14.7,63.75,28.23,24.4,63.11,67.98
27280,17.21,62.87,29.48,11.77,97.69,23.64
27290,15.07,61.74,19.51,18.72,82.14,32.91
27300,14.21,57.13,19.83,21.97,70.25,42.89
27310,18.03,58.91,28.07,20.58,62.53,63.06
27320,11.33,58.0,17.06,17.92,97.15,7.15
27330,13.34,69.05,16.09,24.74,93.11,30.11
27340,14.22,52.59,25.75,24.06,75.44,41.18
27350,15.22,58.36,23.44,20.7,89.64,28.08
27360,12.09,59.68,25.85,10.51,86.49,21.63
27370,16.27,57.75,24.54,21.57,79.16,40.96
27380,17.26,64.73,20.96,10.16,90.39,22.73
27390,15.34,55.95,25.86,10.7,65.55,42.29
27400,11.83,52.92,24.03,21.75,79.55,30.98
27410,11.52,57.49,23.11,22.85,66.42,48.54
27420,11.26,60.85,27.9,16.56,85.29,31.28
27430,17.09,60.68,15.48,24.39,90.96,26.68
27440,16.29,57.24,24.39,11.19,65.21,43.9
27450,10.48,62.91,15.56,15.14,91.36,12.72
27460,12.54,51.43,19.54,11.63,67.12,28.01
27470,11.91,63.85,16.63,20.49,60.39,52.49
27480,14.18,59.32,24.72,23.12,95.59,25.74
27490,14.88,64.11,16.99,16.24,97.97,14.25
27500,11.42,60.55,22.05,15.52,82.58,26.97
27510,13.21,65.23,28.97,12.71,96.38,23.74
27520,17.86,58.77,22.19,19.63,94.6,23.85
27530,13.7,57.37,29.8,21.19,84.06,38.01
27540,15.56,60.59,28.06,18.23,71.01,51.43
27550,11.64,55.07,28.87,10.86,98.81,7.63
27560,18.69,66.24,20.79,16.67,72.73,49.67
27570,14.43,68.26,17.05,20.55,65.9,54.39
27580,10.77,62.07,24.03,21.1,85.76,32.21
27590,12.89,65.06,22.53,12.42,81.01,31.89
27600,19.87,69.59,15.08,15.26,81.01,38.79
27610,11.74,52.22,25.08,23.67,62.72,50.0
27620,16.88,59.04,28.52,24.67,76.36,52.75
27630,17.96,63.43,19.11,14.25,66.92,47.83
27640,11.52,69.67,24.84,19.49,61.04,64.47
27650,15.37,60.37,29.28,16.34,83.52,37.84
27660,15.61,55.65,25.56,18.34,61.61,53.55
27670,17.81,58.94,22.6,12.3,61.64,50.01
27680,15.54,58.11,25.91,12.2,97.94,13.81
27690,16.62,53.32,26.66,14.17,60.8,49.97
27700,10.94,59.44,22.76,21.35,97.61,16.89
27710,12.53,60.37,23.34,18.26,81.56,32.94
27720,17.34,51.27,16.22,15.3,92.79,7.33
27730,19.3,61.47,26.14,17.83,74.08,50.66
27740,13.31,50.8,26.56,20.97,77.04,34.6
27750,18.96,62.36,25.06,21.79,83.74,44.42
27760,13.53,53.15,27.78,10.91,81.52,23.85
27770,18.57,62.06,27.72,24.07,80.6,51.83
27780,13.7,59.83,20.68,17.76,88.4,23.58
27790,18.04,55.4,22.04,12.34,70.83,36.99
27800,14.26,68.45,21.31,23.8,80.6,47.23
27810,19.6,69.68,18.29,20.11,81.21,46.47
27820,19.66,69.89,20.7,10.56,83.72,37.09
27830,15.1,59.23,21.18,11.97,98.38,9.1
27840,15.95,56.78,19.91,23.64,73.54,42.75
27850,17.95,67.77,19.42,15.47,81.56,39.04
27860,14.61,57.71,16.78,18.33,67.04,40.39
27870,16.03,57.05,25.76,14.07,91.65,21.26
27880,11.85,69.42,19.39,24.13,93.73,31.06
27890,15.83,50.94,20.87,13.83,61.85,39.62
27900,19.91,51.05,23.97,16.81,85.51,26.23
27910,13.18,57.91,23.62,14.57,64.57,44.71
27920,19.19,59.45,16.17,10.5,81.48,23.83
27930,16.34,52.22,16.91,13.32,73.47,25.31
27940,15.78,60.68,25.26,15.19,85.59,31.31
27950,14.51,55.65,16.25,14.77,71.55,29.63
27960,14.15,57.11,27.4,19.93,97.41,21.17
27970,19.61,63.73,16.49,14.29,78.91,35.22
27980,15.45,60.97,19.88,14.03,73.55,36.78
27990,17.17,57.19,21.66,15.91,69.73,42.21
28000,10.55,52.79,20.66,17.81,61.86,39.95
28010,19.14,59.03,17.46,22.66,62.24,56.05
28020,18.71,55.46,29.3,19.5,89.27,33.7
28030,11.56,56.65,22.09,24.82,75.36,39.75
28040,13.19,58.73,27.83,20.96,61.06,59.66
28050,17.33,55.41,28.63,19.4,98.89,21.87
28060,10.93,61.32,19.19,16.34,82.1,25.68
28070,10.96,60.74,16.22,19.75,93.6,14.06
28080,16.02,68.5,26.61,20.69,86.84,44.98
28090,13.37,51.36,29.08,18.12,93.33,18.61
28100,11.37,54.11,22.51,22.68,86.41,24.25
28110,17.81,69.8,25.15,16.19,69.87,59.07
28120,13.62,67.77,19.61,13.01,62.26,51.75
28130,12.92,59.4,28.4,10.05,88.28,22.48
28140,17.02,52.44,19.02,23.1,84.92,26.66
28150,15.38,57.96,15.38,21.66,97.32,13.07
28160,13.12,53.7,24.18,16.55,70.63,36.92
28170,16.22,54.36,21.73,20.92,61.15,52.08
28180,18.98,58.15,29.98,22.72,72.04,57.8
28190,18.14,53.35,19.15,10.63,87.33,13.93
28200,13.93,54.16,19.1,23.96,64.6,46.55
28210,17.78,68.33,27.35,23.31,88.95,47.83
28220,15.91,56.62,29.91,18.77,67.82,53.4
28230,12.36,55.93,15.51,18.1,96.3,5.6
28240,10.89,54.72,28.42,16.46,60.4,50.08
28250,10.43,69.5,26.95,11.11,75.54,42.45
28260,18.22,67.51,20.42,24.17,65.66,64.67
28270,14.5,58.28,26.18,11.49,67.98,42.47
28280,14.55,63.76,19.25,10.8,62.42,45.94
28290,14.43,62.77,17.7,16.47,92.62,18.76
28300,12.88,54.61,28.85,15.96,93.95,18.35
28310,12.11,54.05,17.74,23.73,65.14,42.49
28320,19.39,61.25,26.8,13.75,93.77,27.42
28330,17.02,54.0,27.83,18.68,60.85,56.68
28340,15.95,60.53,24.31,21.43,87.57,34.64
28350,10.66,58.12,29.99,16.97,78.74,37.01
28360,19.43,52.58,16.31,21.51,79.05,30.78
28370,12.55,57.11,24.33,23.04,86.53,30.5
28380,15.21,60.38,24.98,22.6,70.51,52.65
28390,18.32,64.51,28.45,20.43,73.18,58.54
28400,18.98,61.87,24.9,21.6,68.69,58.66
28410,18.96,55.69,18.71,12.48,85.3,20.54
28420,14.51,69.12,26.57,21.73,76.15,55.76
28430,19.81,55.29,25.9,12.98,73.8,40.18
28440,12.17,66.26,27.79,22.1,60.27,68.05
28450,16.96,50.42,24.97,13.68,93.61,12.42
28460,13.58,63.92,23.83,20.36,77.27,44.42
28470,19.89,52.38,22.01,10.27,75.42,29.13
28480,16.79,65.2,21.86,12.28,79.47,36.67
28490,18.53,51.85,29.56,11.06,74.61,36.39
28500,12.77,61.78,21.37,24.82,76.48,44.27
28510,12.7,59.16,20.9,14.22,88.95,18.04
28520,17.42,60.61,29.18,15.43,88.27,34.38
28530,15.74,57.38,27.72,21.55,81.44,40.95
28540,15.63,63.76,25.72,17.85,91.53,31.43
28550,19.3,69.22,29.87,23.25,76.61,65.04
28560,14.01,64.93,23.34,16.64,69.24,49.69
28570,16.87,66.61,25.51,14.83,89.42,34.4
28580,13.0,56.22,28.35,10.77,63.17,45.18
28590,19.58,61.39,22.52,23.19,90.5,36.18
28600,17.5,60.21,23.19,12.29,83.53,29.66
28610,12.48,69.53,20.52,24.19,94.09,32.63
28620,13.6,68.39,24.22,12.3,62.11,56.4
28630,10.48,54.55,17.21,15.32,96.35,1.21
28640,19.03,52.47,27.61,17.95,93.17,23.88
28650,19.34,58.88,23.57,12.6,81.39,33.01
28660,13.51,55.51,21.36,16.65,96.23,10.8
28670,19.49,68.03,29.95,18.78,86.92,49.33
28680,14.43,66.36,17.53,13.04,62.18,49.17
28690,14.9,60.01,22.17,20.6,70.49,47.2
28700,17.75,58.08,28.38,11.6,74.29,41.52
28710,10.86,68.82,22.38,24.51,85.2,41.38
28720,17.62,61.94,23.08,16.26,77.48,41.41
28730,16.28,69.59,22.08,13.79,60.62,61.1
28740,11.31,52.45,19.42,22.1,77.45,27.84
28750,10.44,55.19,23.23,16.45,93.43,11.89
28760,19.18,56.31,17.85,10.45,87.76,16.04
28770,19.24,55.56,22.07,20.22,78.79,38.31
28780,15.07,58.4,21.94,22.57,99.13,18.86
28790,16.34,56.97,23.55,14.1,76.91,34.05
28800,14.11,64.63,23.33,21.28,65.6,57.74
28810,13.28,51.47,25.03,17.21,97.3,9.69
28820,16.82,62.74,20.63,10.37,73.69,36.86
28830,12.54,62.63,18.58,11.72,91.5,13.97
28840,19.55,69.63,20.4,13.67,74.57,48.67
28850,10.1,53.97,27.71,15.39,86.55,20.62
28860,19.06,62.43,27.6,15.45,60.43,64.11
28870,19.89,61.86,21.07,17.9,76.47,44.25
28880,15.69,59.5,21.33,14.53,90.49,20.55
28890,11.25,68.19,21.57,18.4,74.78,44.63
28900,17.1,52.88,24.95,21.51,67.07,49.38
28910,19.29,67.81,27.07,13.76,65.41,62.53
28920,16.68,52.19,23.19,12.71,70.58,34.2
28930,17.76,60.4,16.2,16.2,86.01,24.55
28940,15.47,56.52,22.7,18.23,69.49,43.44
28950,10.77,69.78,29.07,14.6,70.91,53.31
28960,12.42,56.75,26.72,15.55,78.22,33.22
28970,11.72,63.13,20.73,22.03,73.81,43.81
28980,18.38,61.46,29.93,11.17,80.97,39.97
28990,15.37,66.95,23.92,11.25,64.76,52.72
29000,18.91,65.48,20.66,12.0,73.06,43.99
29010,18.8,64.54,23.56,12.72,72.36,47.26
29020,11.45,56.72,28.62,21.39,67.49,50.7
29030,14.51,62.21,15.1,16.65,84.73,23.74
29040,18.35,53.22,20.66,18.05,72.16,38.11
29050,18.29,52.82,29.16,18.45,60.79,57.94
29060,13.92,67.77,26.88,22.63,97.63,33.57
29070,10.94,69.1,16.07,14.69,86.15,24.65
29080,18.09,65.94,19.07,17.05,72.45,47.69
29090,14.68,68.13,18.85,20.63,80.81,41.48
29100,13.79,53.05,26.19,10.03,61.53,41.53
29110,12.11,69.04,28.37,10.6,79.83,40.3
29120,13.87,57.02,20.06,13.34,70.76,33.53
29130,17.27,52.85,17.17,24.47,86.4,25.35
29140,16.87,55.04,26.33,14.02,89.07,23.2
29150,11.28,56.05,26.77,17.34,61.98,49.46
29160,11.71,51.94,27.35,16.39,63.09,44.31
29170,12.42,67.52,27.98,17.81,95.55,30.19
29180,16.84,60.9,19.81,20.02,75.84,41.72
29190,19.94,51.01,20.54,23.25,83.62,31.13
29200,13.77,50.48,24.01,15.28,97.71,5.82
29210,14.89,51.24,19.63,16.62,65.22,37.16
29220,12.56,57.72,20.04,15.08,81.34,24.06
29230,16.52,58.58,27.32,24.04,92.61,33.84
29240,19.11,67.83,21.12,15.59,81.8,41.86
29250,10.76,64.71,26.91,22.36,76.66,48.07
29260,13.27,64.26,15.8,16.48,82.04,27.76
29270,10.14,56.54,27.23,22.86,76.21,40.56
29280,17.15,64.44,15.02,21.82,73.25,45.17
29290,18.63,68.63,26.06,10.99,63.42,60.89
29300,16.03,65.54,29.55,16.25,88.92,38.45
29310,13.17,52.23,21.96,18.81,82.77,23.41
29320,11.33,68.45,21.49,10.76,97.33,14.71
29330,10.12,58.88,24.98,10.41,70.0,34.39
29340,18.82,58.96,16.23,23.0,70.39,46.62
29350,15.86,67.05,24.79,18.59,93.75,32.54
29360,18.53,59.51,27.79,23.09,91.08,37.84
29370,18.88,56.82,18.16,15.38,86.78,22.46
29380,12.47,52.06,17.01,14.53,84.66,11.42
29390,16.06,55.75,24.97,19.35,69.88,46.25
29400,15.0,59.37,18.75,12.89,65.26,40.76
29410,14.93,66.0,20.73,19.86,79.53,41.99
29420,19.34,68.9,22.32,13.7,62.96,61.29
29430,12.26,69.73,29.27,12.29,79.36,44.2
29440,16.57,52.9,24.33,19.12,70.22,42.71
29450,13.59,58.12,26.29,16.42,85.83,28.6
29460,11.73,51.89,28.5,16.24,89.0,19.36
29470,16.93,55.68,16.64,11.15,60.31,40.08
29480,10.28,53.42,28.99,22.04,96.47,18.26
29490,19.88,51.04,29.95,19.11,77.58,42.4
29500,16.31,62.05,16.12,21.75,82.94,33.28
29510,10.33,58.17,29.2,21.45,90.94,28.21
29520,15.43,61.73,20.16,18.28,97.55,18.05
29530,15.27,61.59,28.17,13.97,79.79,39.21
29540,19.25,55.8,19.42,16.49,99.49,11.47
29550,16.16,67.35,15.4,21.65,66.05,54.51
29560,11.17,51.12,28.73,12.24,97.95,5.31
29570,11.75,60.26,23.13,13.26,80.56,27.84
29580,18.29,57.34,15.28,17.66,63.98,44.59
29590,13.61,61.58,26.75,17.87,82.43,37.38
29600,14.48,66.44,23.25,14.97,73.98,45.16
29610,19.28,68.81,28.1,10.4,73.79,52.8
29620,17.31,54.57,19.33,22.89,93.44,20.65
29630,17.63,58.71,29.62,21.36,92.95,34.37
29640,18.82,65.13,25.3,21.52,96.12,34.65
29650,10.63,63.96,16.3,18.84,74.89,34.83
29660,18.53,65.18,23.77,24.88,70.99,61.37
29670,16.91,51.65,18.27,21.77,82.27,26.34
29680,11.44,69.41,17.24,23.16,89.38,31.88
29690,14.63,55.09,22.06,12.54,65.99,38.33
29700,17.35,51.67,16.34,18.58,77.38,26.56
29710,18.98,51.66,23.17,20.11,69.7,44.21
29720,18.07,52.07,27.73,20.35,84.8,33.42
29730,11.54,57.01,27.0,17.55,67.89,45.2
29740,13.05,56.72,18.99,23.78,91.44,21.1
29750,14.35,51.14,23.68,16.02,94.51,10.68
29760,11.6,58.14,28.18,21.66,60.4,59.17
29770,14.06,53.22,22.67,24.64,95.51,19.08
29780,16.31,62.8,20.74,14.19,95.44,18.6
29790,17.07,69.51,20.28,13.24,98.81,21.3
29800,18.86,55.2,15.18,22.33,84.02,27.55
29810,18.7,65.44,19.4,18.14,92.73,28.96
29820,17.83,69.88,17.5,14.73,74.93,45.01
29830,18.73,59.87,21.94,22.58,81.97,41.16
29840,15.99,60.56,25.0,10.32,89.29,22.57
29850,16.14,65.29,17.1,20.12,97.67,20.97
29860,16.16,56.6,22.82,21.66,75.21,42.03
29870,16.68,66.39,28.17,22.97,60.93,73.28
29880,14.49,53.85,21.04,14.96,85.91,18.42
29890,15.56,54.74,19.72,16.81,64.28,42.55
29900,13.58,50.48,26.68,11.29,68.65,33.37
29910,11.85,56.56,24.67,15.21,93.15,15.14
29920,17.76,63.92,17.55,19.56,72.62,46.17
29930,18.38,67.68,19.16,20.39,77.57,48.05
29940,14.74,69.71,27.9,24.16,96.82,39.69
29950,14.26,61.22,22.94,17.4,74.81,41.01
29960,19.34,65.7,28.72,14.26,90.93,37.1
29970,16.37,59.28,26.37,24.0,79.97,46.04
29980,13.76,50.96,16.7,24.08,99.71,5.79
29990,10.73,66.15,23.72,24.25,84.93,39.91
30000,17.77,67.29,15.37,12.82,97.23,16.02
30010,17.28,53.46,16.98,15.05,65.96,36.81
30020,16.44,67.86,15.08,12.86,74.6,37.64
30030,19.48,58.01,15.3,16.94,82.1,27.63
30040,13.7,65.4,18.32,14.39,81.88,29.93
30050,10.49,55.67,29.05,12.09,82.27,25.03
30060,17.98,58.88,21.43,11.11,79.0,30.39
30070,12.63,68.26,23.74,13.42,74.62,43.43
30080,17.8,62.09,29.19,17.96,92.98,34.06
30090,17.41,50.81,16.05,15.98,90.49,9.75
30100,15.18,58.97,15.16,19.62,63.6,45.33
30110,11.26,64.48,17.76,11.23,82.84,21.91
30120,18.9,66.47,28.62,22.91,73.24,63.66
30130,18.4,61.33,25.65,13.39,60.73,58.03
30140,17.48,68.61,27.23,16.94,79.21,51.05
30150,11.76,60.72,26.61,10.15,82.03,27.21
30160,18.64,54.21,15.14,22.29,73.89,36.38
30170,14.23,66.38,25.94,14.57,86.15,34.97
30180,11.34,53.88,25.8,14.62,62.88,42.76
30190,19.51,52.68,21.26,10.97,86.63,17.8
30200,12.55,62.81,15.74,13.95,89.61,15.45
30210,16.01,52.96,19.81,19.56,89.68,18.66
30220,19.21,55.6,19.32,18.42,64.75,47.81
30230,12.91,68.91,28.0,17.11,78.28,48.65
30240,18.83,51.86,15.45,22.04,77.9,30.28
30250,15.58,65.77,29.49,18.5,60.55,68.79
